year,GEOID,NAME,variable,estimate
2009,5002111950,"Castleton town, Rutland County, Vermont",Non-Mortgaged SMOC,528
2009,5002114350,"Chittenden town, Rutland County, Vermont",Mortgaged SMOC,1519
2009,5002114350,"Chittenden town, Rutland County, Vermont",Non-Mortgaged SMOC,499
2009,5002114500,"Clarendon town, Rutland County, Vermont",Mortgaged SMOC,1210
2009,5002114500,"Clarendon town, Rutland County, Vermont",Non-Mortgaged SMOC,515
2009,5002116825,"Danby town, Rutland County, Vermont",Mortgaged SMOC,1377
2009,5002116825,"Danby town, Rutland County, Vermont",Non-Mortgaged SMOC,454
2009,5002125375,"Fair Haven town, Rutland County, Vermont",Mortgaged SMOC,1288
2009,5002125375,"Fair Haven town, Rutland County, Vermont",Non-Mortgaged SMOC,460
2009,5002134450,"Hubbardton town, Rutland County, Vermont",Mortgaged SMOC,1272
2009,5002134450,"Hubbardton town, Rutland County, Vermont",Non-Mortgaged SMOC,519
